2014-11-12 09:07:12 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Consulta realizado al metodo consolidado con codigo=0, secuencia=156322, estado=P
2014-11-12 09:07:12 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:07:23 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Consulta realizado al metodo consolidado con codigo=0, secuencia=156322, estado=P
2014-11-12 09:07:23 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Se va intentar obtener el detalle de la primera pagina, resgistros 100
2014-11-12 09:07:33 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - Consulta realizado al metodo consolidado con codigo=1, secuencia=156322, estado=P
2014-11-12 09:07:33 INFO  [DetalleLlamadaWS] [getDetalleLlamadasConsolidadoSacTBol] [Thread-3] - No se ha podido obtener el detalle de llamadas, Se ha sobrepasado la cantidad de peticiones aceptadas. Por favor consulte con el Administrador.
2014-11-12 09:07:33 INFO  [GenerateThread] [procesarLineas] [Thread-3] - No se obtuvo los datos para generar los detalles
2014-11-12 09:07:33 INFO  [GenerateThread] [procesarLineas] [Thread-3] - CAMBIANDO A ESTADO EPR
2014-11-12 09:07:33 INFO  [GenerateBL] [updateEstado] [Thread-3] - Se va actualizar el estado del historial 1-199
2014-11-12 09:07:33 INFO  [TBolHistorialDAO] [updateEstado] [Thread-3] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:33 INFO  [GenerateThread] [procesarLineas] [Thread-3] - actualizando el historial de la linea: 77110005 con estado EPR en fallida
2014-11-12 09:07:33 INFO  [GenerateBL] [updateHistorialIntentosTBol] [Thread-3] - Se va actualizar el historial 1-199 a fallida
2014-11-12 09:07:33 INFO  [TBolHistorialDAO] [updateIntentos] [Thread-3] - Se ejecuto el procedimiento almacenado de update intentos
2014-11-12 09:07:33 INFO  [GenerateThread] [procesarLineas] [Thread-3] - No genero el detalle de llamadas y actualizo los intentos del historial
2014-11-12 09:07:33 INFO  [GenerateThread] [generateTBol] [Thread-3] - No genero detalles y actualizo los intentos del historial, linea con ticket 1-199
2014-11-12 09:07:33 INFO  [GenerateThread] [generateTBol] [Thread-3] - El hilo termino de generar los detalles programados
2014-11-12 09:07:33 INFO  [GenerateThread] [run] [Thread-3] - Terminaron todos los hilos de generar los detalles
2014-11-12 09:07:33 INFO  [GenerateThread] [run] [Thread-3] - [No genero detalles y actualizo los intentos del historial, nro de linea 77110005]
2014-11-12 09:07:50 INFO  [QuartzGenerate] [execute] [DefaultQuartzScheduler_Worker-2] - [execute]: Inicio de tarea programada Quartz
2014-11-12 09:07:50 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-2] - Iniciando el reintentador de generacion de detalle y envio de correo
2014-11-12 09:07:50 INFO  [Generate] [retryTBol] [DefaultQuartzScheduler_Worker-2] - Se abrio la conexion a la base de datos
2014-11-12 09:07:50 INFO  [SysParameter] [load] [DefaultQuartzScheduler_Worker-2] - Vamos a iniciar la carga de los parametros del sistema.
2014-11-12 09:07:50 INFO  [SysParameter] [load] [DefaultQuartzScheduler_Worker-2] - Los parametros fueron cargados satisfactoriamente.
